Month,Division,Line,Day Type,Reporting Category,Subcategory,Incidents
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other - CE,1
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other - Sig,5
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Propulsion,1
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Rail and Roadbed,1
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Service Delivery,4
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,2,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,2,2,Operating Conditions,Other Operating Environment,47
2025-01-01,A DIVISION,2,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,2,2,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,A DIVISION,2,2,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,2,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,2,2,Planned ROW Work,Subways Maintenance,17
2025-01-01,A DIVISION,2,2,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,2,2,Police & Medical,Persons on Roadbed,3
2025-01-01,A DIVISION,2,2,Police & Medical,"Public Conduct, Crime, Police Response",54
2025-01-01,A DIVISION,2,2,Police & Medical,Sick/Injured Customer,5
2025-01-01,A DIVISION,3,1,,,0
2025-01-01,A DIVISION,3,1,Crew Availability,Crew Availability,9
2025-01-01,A DIVISION,3,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,3,1,External Factors,External Debris on Roadbed,1
2025-01-01,A DIVISION,3,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Braking,8
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Door-Related,5
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,"Fire, Smoke, Debris",3
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other - CE,0
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other - Sig,8
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Propulsion,2
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Rail and Roadbed,2
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Service Delivery,10
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,3,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,2
2025-01-01,A DIVISION,3,1,Operating Conditions,Other Operating Environment,42
2025-01-01,A DIVISION,3,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,3,1,Planned ROW Work,Capital Work - Other Planned ROW,0
2025-01-01,A DIVISION,3,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,3,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,3,1,Planned ROW Work,Subways Maintenance,12
2025-01-01,A DIVISION,3,1,Planned ROW Work,Work Equipment,2
2025-01-01,A DIVISION,3,1,Police & Medical,Persons on Roadbed,5
2025-01-01,A DIVISION,3,1,Police & Medical,"Public Conduct, Crime, Police Response",64
2025-01-01,A DIVISION,3,1,Police & Medical,Sick/Injured Customer,9
2025-01-01,A DIVISION,3,2,,,0
2025-01-01,A DIVISION,3,2,Crew Availability,Crew Availability,2
2025-01-01,A DIVISION,3,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,3,2,External Factors,External Debris on Roadbed,1
2025-01-01,A DIVISION,3,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Braking,2
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Door-Related,1
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,"Fire, Smoke, Debris",0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other - CE,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other - Sig,3
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Propulsion,1
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Rail and Roadbed,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Service Delivery,1
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,3,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,3,2,Operating Conditions,Other Operating Environment,26
2025-01-01,A DIVISION,3,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,3,2,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,A DIVISION,3,2,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,3,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,3,2,Planned ROW Work,Subways Maintenance,11
2025-01-01,A DIVISION,3,2,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,3,2,Police & Medical,Persons on Roadbed,1
2025-01-01,A DIVISION,3,2,Police & Medical,"Public Conduct, Crime, Police Response",37
2025-01-01,A DIVISION,3,2,Police & Medical,Sick/Injured Customer,6
2025-01-01,A DIVISION,4,1,,,0
2025-01-01,A DIVISION,4,1,Crew Availability,Crew Availability,8
2025-01-01,A DIVISION,4,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,4,1,External Factors,External Debris on Roadbed,1
2025-01-01,A DIVISION,4,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Braking,4
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Door-Related,1
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,"Fire, Smoke, Debris",5
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other - CE,6
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other - Sig,21
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Other Internal Disruptions,4
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Propulsion,1
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Rail and Roadbed,2
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Service Delivery,8
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,4,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,4,1,Operating Conditions,Other Operating Environment,44
2025-01-01,A DIVISION,4,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,4,1,Planned ROW Work,Capital Work - Other Planned ROW,0
2025-01-01,A DIVISION,4,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,4,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,4,1,Planned ROW Work,Subways Maintenance,22
2025-01-01,A DIVISION,4,1,Planned ROW Work,Work Equipment,6
2025-01-01,A DIVISION,4,1,Police & Medical,Persons on Roadbed,3
2025-01-01,A DIVISION,4,1,Police & Medical,"Public Conduct, Crime, Police Response",118
2025-01-01,A DIVISION,4,1,Police & Medical,Sick/Injured Customer,16
2025-01-01,A DIVISION,4,2,,,0
2025-01-01,A DIVISION,4,2,Crew Availability,Crew Availability,3
2025-01-01,A DIVISION,4,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,4,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,4,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Braking,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Door-Related,2
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other - CE,2
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other - Sig,3
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Propulsion,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Rail and Roadbed,3
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Service Delivery,5
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,4,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,4,2,Operating Conditions,Other Operating Environment,32
2025-01-01,A DIVISION,4,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,4,2,Planned ROW Work,Capital Work - Other Planned ROW,1
2025-01-01,A DIVISION,4,2,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,4,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,4,2,Planned ROW Work,Subways Maintenance,13
2025-01-01,A DIVISION,4,2,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,4,2,Police & Medical,Persons on Roadbed,1
2025-01-01,A DIVISION,4,2,Police & Medical,"Public Conduct, Crime, Police Response",28
2025-01-01,A DIVISION,4,2,Police & Medical,Sick/Injured Customer,5
2025-01-01,A DIVISION,5,1,,,0
2025-01-01,A DIVISION,5,1,Crew Availability,Crew Availability,6
2025-01-01,A DIVISION,5,1,External Factors,External Agency or Utility,2
2025-01-01,A DIVISION,5,1,External Factors,External Debris on Roadbed,3
2025-01-01,A DIVISION,5,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Braking,2
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Door-Related,2
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,"Fire, Smoke, Debris",2
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other - CE,9
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other - Sig,15
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Propulsion,5
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Rail and Roadbed,2
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Service Delivery,11
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,1
2025-01-01,A DIVISION,5,1,Operating Conditions,Other Operating Environment,43
2025-01-01,A DIVISION,5,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,5,1,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,A DIVISION,5,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,5,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,5,1,Planned ROW Work,Subways Maintenance,10
2025-01-01,A DIVISION,5,1,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,5,1,Police & Medical,Persons on Roadbed,1
2025-01-01,A DIVISION,5,1,Police & Medical,"Public Conduct, Crime, Police Response",82
2025-01-01,A DIVISION,5,1,Police & Medical,Sick/Injured Customer,17
2025-01-01,A DIVISION,5,2,,,0
2025-01-01,A DIVISION,5,2,Crew Availability,Crew Availability,1
2025-01-01,A DIVISION,5,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,5,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,5,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Braking,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Door-Related,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,"Fire, Smoke, Debris",2
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other - CE,1
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other - Sig,1
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Propulsion,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Rail and Roadbed,1
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Service Delivery,4
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,5,2,Operating Conditions,Other Operating Environment,8
2025-01-01,A DIVISION,5,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,5,2,Planned ROW Work,Capital Work - Other Planned ROW,0
2025-01-01,A DIVISION,5,2,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,5,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,5,2,Planned ROW Work,Subways Maintenance,2
2025-01-01,A DIVISION,5,2,Planned ROW Work,Work Equipment,1
2025-01-01,A DIVISION,5,2,Police & Medical,Persons on Roadbed,1
2025-01-01,A DIVISION,5,2,Police & Medical,"Public Conduct, Crime, Police Response",25
2025-01-01,A DIVISION,5,2,Police & Medical,Sick/Injured Customer,2
2025-01-01,A DIVISION,6,1,,,0
2025-01-01,A DIVISION,6,1,Crew Availability,Crew Availability,11
2025-01-01,A DIVISION,6,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,6,1,External Factors,External Debris on Roadbed,3
2025-01-01,A DIVISION,6,1,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Braking,6
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Door-Related,12
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,"Fire, Smoke, Debris",1
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other - CE,5
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other - Sig,13
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other Infrastructure,1
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Other Internal Disruptions,5
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Propulsion,9
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Rail and Roadbed,7
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Service Delivery,13
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,6,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,2
2025-01-01,A DIVISION,6,1,Operating Conditions,Other Operating Environment,40
2025-01-01,A DIVISION,6,1,Operating Conditions,Service Management,19
2025-01-01,A DIVISION,6,1,Planned ROW Work,Capital Work - Other Planned ROW,3
2025-01-01,A DIVISION,6,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,6,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,6,1,Planned ROW Work,Subways Maintenance,24
2025-01-01,A DIVISION,6,1,Planned ROW Work,Work Equipment,8
2025-01-01,A DIVISION,6,1,Police & Medical,Persons on Roadbed,8
2025-01-01,A DIVISION,6,1,Police & Medical,"Public Conduct, Crime, Police Response",129
2025-01-01,A DIVISION,6,1,Police & Medical,Sick/Injured Customer,19
2025-01-01,A DIVISION,6,2,,,0
2025-01-01,A DIVISION,6,2,Crew Availability,Crew Availability,8
2025-01-01,A DIVISION,6,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,6,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,6,2,External Factors,Inclement Weather,0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Braking,5
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Door-Related,3
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,"Fire, Smoke, Debris",0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other - CE,1
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other - Sig,4
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other Infrastructure,0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Other Internal Disruptions,0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Propulsion,0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Rail and Roadbed,1
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Service Delivery,9
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,6,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,6,2,Operating Conditions,Other Operating Environment,18
2025-01-01,A DIVISION,6,2,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,6,2,Planned ROW Work,Capital Work - Other Planned ROW,0
2025-01-01,A DIVISION,6,2,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,6,2,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,6,2,Planned ROW Work,Subways Maintenance,11
2025-01-01,A DIVISION,6,2,Planned ROW Work,Work Equipment,0
2025-01-01,A DIVISION,6,2,Police & Medical,Persons on Roadbed,6
2025-01-01,A DIVISION,6,2,Police & Medical,"Public Conduct, Crime, Police Response",33
2025-01-01,A DIVISION,6,2,Police & Medical,Sick/Injured Customer,5
2025-01-01,A DIVISION,7,1,,,0
2025-01-01,A DIVISION,7,1,Crew Availability,Crew Availability,16
2025-01-01,A DIVISION,7,1,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,7,1,External Factors,External Debris on Roadbed,2
2025-01-01,A DIVISION,7,1,External Factors,Inclement Weather,2
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Braking,1
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Door-Related,6
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,"Fire, Smoke, Debris",0
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other - CE,3
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other - Sig,13
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other Infrastructure,13
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Other Internal Disruptions,1
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Propulsion,0
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Rail and Roadbed,1
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Service Delivery,3
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Signal Modernization Capital Project,0
2025-01-01,A DIVISION,7,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,0
2025-01-01,A DIVISION,7,1,Operating Conditions,Other Operating Environment,6
2025-01-01,A DIVISION,7,1,Operating Conditions,Service Management,0
2025-01-01,A DIVISION,7,1,Planned ROW Work,Capital Work - Other Planned ROW,0
2025-01-01,A DIVISION,7,1,Planned ROW Work,Insufficient Supplement Schedule,0
2025-01-01,A DIVISION,7,1,Planned ROW Work,Other Planned ROW Work,0
2025-01-01,A DIVISION,7,1,Planned ROW Work,Subways Maintenance,29
2025-01-01,A DIVISION,7,1,Planned ROW Work,Work Equipment,5
2025-01-01,A DIVISION,7,1,Police & Medical,Persons on Roadbed,3
2025-01-01,A DIVISION,7,1,Police & Medical,"Public Conduct, Crime, Police Response",28
2025-01-01,A DIVISION,7,1,Police & Medical,Sick/Injured Customer,2
2025-01-01,A DIVISION,7,2,,,0
2025-01-01,A DIVISION,7,2,Crew Availability,Crew Availability,2
2025-01-01,A DIVISION,7,2,External Factors,External Agency or Utility,0
2025-01-01,A DIVISION,7,2,External Factors,External Debris on Roadbed,0
2025-01-01,A DIVISION,7,2,External Factors,Inclement Weather,1
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Braking,0
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Door-Related,1
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,"Fire, Smoke, Debris",0
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Other - CE,1
2025-01-01,A DIVISION,7,2,Infrastructure & Equipment,Other - Sig,1
